2817.7 1.406 0.002
2825.4 1.408 0.002
2833.2 1.410 0.003
2840.9 1.411 0.003
2848.6 1.413 0.003
2856.3 1.415 0.003
2864.0 1.417 0.003
2871.7 1.420 0.003
2879.4 1.422 0.003
2887.2 1.425 0.003
2894.9 1.428 0.003
2902.6 1.430 0.003
2910.3 1.434 0.003
2918.0 1.436 0.004
2925.7 1.440 0.003
2933.5 1.443 0.004
2941.2 1.447 0.004
2948.9 1.451 0.005
2956.6 1.456 0.006
2964.3 1.460 0.007
2972.0 1.465 0.008
2979.8 1.470 0.009
2987.5 1.475 0.010
2995.2 1.480 0.012
3002.9 1.486 0.014
3010.6 1.492 0.017
3018.3 1.498 0.019
3026.0 1.505 0.022
3033.8 1.514 0.026
3041.5 1.520 0.030
3049.2 1.528 0.036
3056.9 1.537 0.042
3064.6 1.543 0.049
3072.3 1.551 0.058
3080.1 1.562 0.067
3087.8 1.569 0.078
3095.5 1.574 0.090
3103.5 1.580 0.103
3110.9 1.583 0.117
3118.6 1.587 0.132
3126.4 1.595 0.146
3134.1 1.597 0.162
3141.8 1.594 0.179
3149.5 1.594 0.196
3157.2 1.592 0.212
3164.9 1.584 0.231
3172.6 1.580 0.248
3180.4 1.583 0.264
3188.1 1.571 0.282
3195.8 1.563 0.298
3203.5 1.553 0.315
3211.2 1.535 0.332
3218.9 1.521 0.347
3226.7 1.520 0.359
3234.4 1.505 0.373
3242.1 1.482 0.385
3249.8 1.466 0.396
3257.5 1.439 0.406
3265.2 1.421 0.414
3273.0 1.418 0.420
3280.7 1.398 0.426
3288.4 1.369 0.431
3296.1 1.349 0.433
3303.8 1.329 0.434
3311.5 1.300 0.433
3319.3 1.296 0.429
3327.0 1.277 0.425
3334.7 1.251 0.421
3342.4 1.234 0.414
3350.1 1.217 0.408
3357.8 1.193 0.402
3365.5 1.178 0.395
3373.3 1.177 0.385
3381.0 1.161 0.377
3388.7 1.138 0.368
3396.4 1.124 0.358
3404.1 1.103 0.346
3411.8 1.090 0.333
3419.6 1.089 0.319
3427.3 1.077 0.303
3435.0 1.059 0.287
3442.7 1.050 0.270
3450.4 1.042 0.251
3458.1 1.032 0.233
3465.9 1.036 0.214
3473.6 1.034 0.194
3481.3 1.029 0.176
3489.0 1.031 0.158
3496.7 1.035 0.140
3504.4 1.037 0.125
3512.1 1.043 0.111
3519.9 1.053 0.098
3527.6 1.059 0.086
3535.3 1.064 0.075
3543.0 1.071 0.065
3550.7 1.077 0.055
3558.4 1.085 0.047
3566.2 1.094 0.039
3573.9 1.102 0.033
3581.6 1.109 0.027
3589.3 1.117 0.022
3597.0 1.125 0.018
3604.7 1.132 0.014
3612.5 1.139 0.012
3620.2 1.146 0.009
3627.9 1.153 0.007
3635.6 1.159 0.006
3643.3 1.167 0.005
3651.0 1.173 0.008
3658.7 1.176 0.012
3666.5 1.175 0.014
3674.2 1.174 0.010
3681.9 1.177 0.005
3689.6 1.181 0.004
3697.3 1.184 0.001
3705.0 1.188 0.000
3712.8 1.193 0.000
3720.5 1.197 0.000
3728.2 1.200 0.000
3735.9 1.204 0.000
3743.6 1.207 0.000
3751.3 1.209 0.000
3759.1 1.212 0.000
3766.8 1.214 0.000
3774.5 1.217 0.000
3782.2 1.219 0.000
3789.9 1.221 0.000
3797.6 1.223 0.000
3805.3 1.225 0.000
3813.1 1.227 0.000
3820.8 1.229 0.000
3828.5 1.230 0.000
3836.2 1.232 0.000
3843.4 1.233 0.000
3851.6 1.235 0.000
3859.4 1.236 0.000
3867.1 1.238 0.000
3874.8 1.239 0.000
3882.5 1.241 0.000
3890.2 1.242 0.000
3897.9 1.243 0.000
3905.7 1.244 0.000
3913.4 1.246 0.000
3921.1 1.247 0.000
3928.8 1.248 0.000
3936.5 1.249 0.000
3944.2 1.250 0.000
3951.9 1.251 0.000
3959.7 1.252 0.000
3967.4 1.253 0.000
3975.1 1.254 0.000
3982.8 1.255 0.000
3990.5 1.257 0.000
3998.2 1.258 0.000












